"Use","YearMonth","Mean.estimate","Mean.conf.low","Mean.conf.high","P50.estimate","P5.estimate","P95.estimate","Units"
"Drilling","201603",0.133638,0.122565,0.144711,0.146215,0.040821,0.170634,
"Drilling","201604",0.142299,0.135234,0.149364,0.14073,0.087465,0.158375,
"Drilling","201605",0.144918,0.135977,0.153858,0.141645,0.076972,0.155327,
"Drilling","201606",0.149284,0.141755,0.156813,0.141042,0.103476,0.174646,
"Drilling","201607",0.142774,0.134463,0.151085,0.14247,0.095812,0.165525,
"Drilling","201608",0.125682,0.115057,0.136307,0.139627,0.062832,0.171464,
"Drilling","201609",0.138247,0.130558,0.145936,0.138085,0.07305,0.160586,
"Drilling","201610",0.123267,0.113768,0.132767,0.138738,0.065325,0.159325,
"Drilling","201611",0.134138,0.125409,0.142867,0.141385,0.067786,0.170235,
"Drilling","201612",0.140325,0.129915,0.150735,0.1305,0.078564,0.2103,
"Drilling","201701",0.133429,0.124633,0.142226,0.13714,0.088125,0.19026,
"Drilling","201702",0.157432,0.149721,0.165144,0.1441,0.070215,0.182374,
"Drilling","201703",0.125052,0.116616,0.133488,0.136569,0.07608,0.153683,
"Drilling","201704",0.130033,0.122722,0.137344,0.133695,0.083977,0.164713,
"Drilling","201705",0.127354,0.119097,0.135611,0.140635,0.07098,0.176895,
"Drilling","201706",0.117808,0.108872,0.126743,0.136174,0.075799,0.174993,
"Drilling","201707",0.116549,0.108953,0.124146,0.129834,0.07825,0.175086,
"Drilling","201708",0.147771,0.140993,0.15455,0.137119,0.089055,0.176894,
"Drilling","201709",0.119075,0.111329,0.126821,0.137373,0.069726,0.163952,
"Drilling","201710",0.134229,0.128373,0.140085,0.138544,0.093274,0.15966,
"Drilling","201711",0.146682,0.14092,0.152445,0.144966,0.099525,0.177496,
"Drilling","201712",0.1378,0.130874,0.144727,0.140329,0.06489,0.17337,
"Drilling","201801",0.135704,0.127764,0.143644,0.139835,0.07452,0.180216,
"Drilling","201802",0.148125,0.141799,0.154451,0.139886,0.08505,0.185014,
"Drilling","201803",0.144651,0.138707,0.150595,0.141395,0.082194,0.167928,
"Drilling","201804",0.137477,0.13114,0.143814,0.13788,0.087718,0.168026,
"Drilling","201805",0.140265,0.133672,0.146858,0.142004,0.088854,0.19317,
"Drilling","201806",0.141254,0.134848,0.14766,0.141646,0.086716,0.186236,
"Drilling","201807",0.149217,0.144278,0.154156,0.14508,0.121338,0.179548,
"Drilling","201808",0.148539,0.142735,0.154343,0.149765,0.085678,0.180994,
"Drilling","201809",0.149602,0.143922,0.155282,0.146951,0.103462,0.186629,
"Drilling","201810",0.13962,0.13185,0.147389,0.14147,0.09079,0.181268,
"Drilling","201811",0.140299,0.132813,0.147785,0.141596,0.076415,0.175145,
"Drilling","201812",0.154305,0.148283,0.160327,0.14615,0.119558,0.191918,
"Drilling","201901",0.145763,0.139478,0.152048,0.149689,0.114288,0.186492,
"Drilling","201902",0.149686,0.143216,0.156156,0.139899,0.121718,0.172356,
"Drilling","201903",0.149724,0.143368,0.15608,0.14484,0.121894,0.185701,
"Drilling","201904",0.148139,0.140946,0.155332,0.139447,0.12528,0.18734,
"Drilling","201905",0.144821,0.138912,0.150729,0.137763,0.114867,0.18724,
"Drilling","201906",0.140059,0.134367,0.145751,0.138668,0.118575,0.172652,
"Drilling","201907",0.147394,0.142756,0.152033,0.141977,0.113554,0.177853,
"Drilling","201908",0.140023,0.13338,0.146667,0.139839,0.116486,0.189636,
"Drilling","201909",0.141374,0.13602,0.146727,0.13875,0.124029,0.181446,
"Drilling","201910",0.150499,0.144699,0.156298,0.141358,0.09618,0.187308,
"Drilling","201911",0.145222,0.138432,0.152012,0.145472,0.119515,0.18051,
"Drilling","201912",0.15486,0.147413,0.162307,0.141396,0.11319,0.183794,
"Drilling","202001",0.154204,0.147271,0.161138,0.150645,0.11291,0.17781,
"Drilling","202002",0.146211,0.139878,0.152545,0.144048,0.11857,0.179312,
"Drilling","202003",0.137935,0.131126,0.144745,0.13696,0.116986,0.177709,
"Drilling","202004",0.150084,0.139404,0.160764,0.143485,0.119563,0.189544,
"Drilling","202005",0.136768,0.113882,0.159653,0.1358,0.103496,0.199646,
"Drilling","202006",0.172008,0.153705,0.19031,0.177943,0.137542,0.182618,
"Drilling","202007",0.165846,0.154229,0.177464,0.168689,0.106354,0.192322,
"Drilling","202008",0.146437,0.136958,0.155916,0.135975,0.117291,0.190329,
"Drilling","202009",0.150476,0.140735,0.160217,0.14017,0.132185,0.188649,
"Drilling","202010",0.13801,0.128684,0.147337,0.137001,0.10242,0.191371,
"Drilling","202011",0.151029,0.14327,0.158787,0.139038,0.133231,0.18353,
"Drilling","202012",0.141958,0.132634,0.151281,0.137377,0.084982,0.17113,
"Drilling","202101",0.131055,0.123715,0.138395,0.134981,0.089265,0.172823,
"Drilling","202102",0.140575,0.129188,0.151961,0.139435,0.08937,0.18863,
"Drilling","202103",0.143012,0.136093,0.14993,0.14056,0.12636,0.177557,
"Drilling","202104",0.144835,0.136145,0.153526,0.14403,0.067445,0.17472,
"Drilling","202105",0.144929,0.134202,0.155656,0.132464,0.10447,0.180379,
"Drilling","202106",0.137205,0.128209,0.146201,0.137051,0.098203,0.17775,
"Drilling","202107",0.141049,0.13279,0.149309,0.132803,0.100804,0.174866,
"Drilling","202108",0.136457,0.127504,0.14541,0.132064,0.12434,0.176901,
"Drilling","202109",0.1453,0.130783,0.159817,0.138011,0.104145,0.205258,
"Drilling","202110",0.142574,0.131327,0.153821,0.138581,0.116492,0.177535,
"Drilling","202111",0.121444,0.086908,0.15598,0.118961,0.058035,0.14423,
"Indirect","All",0.145859,0.145435,0.146284,0.150208,0.112546,0.172322,
"Indirect","201101",,,,0.158051,0.158051,0.158051,
"Indirect","201102",,,,0.159173,0.159173,0.159173,
"Indirect","201104",,,,0.156062,0.156062,0.162167,
"Indirect","201105",,,,0.151112,0.133045,0.165829,
"Indirect","201107",,,,0.150692,0.150692,0.15895,
"Indirect","201108",,,,0.161334,0.161334,0.165071,
"Indirect","201109",,,,0.152663,0.132962,0.172562,
"Indirect","201110",0.188789,0.128533,0.249046,0.183947,0.183947,0.183947,
"Indirect","201111",,,,0.168404,0.151451,0.182256,
"Indirect","201112",0.160482,0.118527,0.202436,0.127691,0.127691,0.157778,
"Indirect","201201",0.121327,0.076615,0.166039,0.121536,0.121536,0.121536,
"Indirect","201202",0.181509,0.164533,0.198486,0.169011,0.169011,0.181484,
"Indirect","201203",0.162796,0.154267,0.171325,0.166829,0.091102,0.167909,
"Indirect","201204",0.16162,0.149329,0.173912,0.165769,0.075228,0.174402,
"Indirect","201205",0.125359,0.109767,0.140952,0.159701,0.069621,0.172562,
"Indirect","201206",0.12267,0.110954,0.134387,0.146929,0.073926,0.16425,
"Indirect","201207",0.151945,0.141143,0.162747,0.163391,0.118715,0.163391,
"Indirect","201208",0.127505,0.120611,0.134399,0.155004,0.099371,0.166616,
"Indirect","201209",0.118008,0.113476,0.122541,0.153777,0.099365,0.166787,
"Indirect","201210",0.125419,0.121005,0.129834,0.15923,0.100116,0.165996,
"Indirect","201211",0.132107,0.127908,0.136306,0.15383,0.1034,0.164065,
"Indirect","201212",0.140166,0.135048,0.145284,0.160253,0.09875,0.167262,
"Indirect","201301",0.137088,0.132604,0.141571,0.1607,0.109425,0.16968,
"Indirect","201302",0.134678,0.130058,0.139297,0.153963,0.095794,0.169116,
"Indirect","201303",0.131367,0.126947,0.135788,0.159831,0.100002,0.162784,
"Indirect","201304",0.133389,0.128666,0.138111,0.152706,0.097339,0.166488,
"Indirect","201305",0.133005,0.128531,0.137478,0.146599,0.102282,0.168708,
"Indirect","201306",0.134492,0.130035,0.13895,0.143212,0.106042,0.168996,
"Indirect","201307",0.131441,0.12702,0.135862,0.135367,0.104585,0.166681,
"Indirect","201308",0.137433,0.133461,0.141405,0.135386,0.103481,0.165166,
"Indirect","201309",0.136557,0.132375,0.140738,0.146118,0.105505,0.168862,
"Indirect","201310",0.128945,0.124762,0.133127,0.13114,0.101058,0.171933,
"Indirect","201311",0.143046,0.138453,0.147639,0.145016,0.10587,0.170059,
"Indirect","201312",0.129598,0.124629,0.134567,0.141518,0.103385,0.167612,
"Indirect","201401",0.135443,0.130546,0.14034,0.146295,0.112645,0.17161,
"Indirect","201402",0.140306,0.135433,0.145179,0.141864,0.114175,0.177345,
"Indirect","201403",0.13223,0.127982,0.136479,0.138264,0.105389,0.168393,
"Indirect","201404",0.138461,0.133932,0.142989,0.14429,0.10858,0.169119,
"Indirect","201405",0.133998,0.129721,0.138275,0.137672,0.104591,0.169014,
"Indirect","201406",0.135656,0.131504,0.139809,0.1466,0.106842,0.172605,
"Indirect","201407",0.134295,0.130251,0.138338,0.137949,0.108481,0.168238,
"Indirect","201408",0.139285,0.134915,0.143656,0.14927,0.110976,0.169206,
"Indirect","201409",0.135765,0.131423,0.140108,0.141044,0.105836,0.17359,
"Indirect","201410",0.143322,0.139313,0.14733,0.152412,0.111213,0.170351,
"Indirect","201411",0.134566,0.130388,0.138744,0.146782,0.111198,0.166515,
"Indirect","201412",0.138685,0.134884,0.142486,0.149586,0.11548,0.174791,
"Indirect","201501",0.139418,0.135008,0.143829,0.146878,0.101315,0.16269,
"Indirect","201502",0.141539,0.137123,0.145956,0.149454,0.109325,0.165446,
"Indirect","201503",0.145805,0.14189,0.149719,0.15599,0.111997,0.163286,
"Indirect","201504",0.156802,0.15295,0.160655,0.155642,0.114462,0.166018,
"Indirect","201505",0.148789,0.144954,0.152623,0.149554,0.118587,0.179323,
"Indirect","201506",0.151058,0.14602299999999999,0.156093,0.150774,0.11534,0.180639,
"Indirect","201507",0.14753,0.143011,0.152048,0.153622,0.110458,0.172175,
"Indirect","201508",0.150407,0.144542,0.156273,0.149392,0.112252,0.198758,
"Indirect","201509",0.144436,0.138712,0.15016,0.150568,0.10686,0.197014,
"Indirect","201510",0.148431,0.143121,0.153741,0.149756,0.126428,0.167649,
"Indirect","201511",0.152828,0.146273,0.159383,0.152581,0.109126,0.205182,
"Indirect","201512",0.14762,0.142611,0.152629,0.148877,0.136659,0.169955,
"Indirect","201601",0.154876,0.149235,0.160517,0.151359,0.120288,0.185262,
"Indirect","201602",0.157033,0.152561,0.161504,0.150971,0.124026,0.185372,
"Indirect","201603",0.147063,0.140973,0.153153,0.153981,0.096014,0.167411,
"Indirect","201604",0.151827,0.147941,0.155712,0.150964,0.121668,0.160668,
"Indirect","201605",0.153267,0.14835,0.158184,0.151467,0.115898,0.158992,
"Indirect","201606",0.155668,0.151527,0.159809,0.151136,0.130474,0.169618,
"Indirect","201607",0.152088,0.147517,0.156659,0.151922,0.126259,0.164601,
"Indirect","201608",0.142687,0.136844,0.148531,0.150358,0.10812,0.167868,
"Indirect","201609",0.149598,0.145369,0.153827,0.149509,0.113739,0.161885,
"Indirect","201610",0.141359,0.136135,0.146584,0.149868,0.109491,0.161191,
"Indirect","201611",0.147338,0.142537,0.152139,0.151324,0.110844,0.167192,
"Indirect","201612",0.15074100000000001,0.145015,0.156466,0.145337,0.116772,0.189227,
"Indirect","201701",0.146948,0.142111,0.151786,0.148989,0.122031,0.178205,
"Indirect","201702",0.16015,0.155909,0.164391,0.152817,0.11218,0.173868,
"Indirect","201703",0.142341,0.137701,0.146981,0.148675,0.115406,0.158087,
"Indirect","201704",0.145081,0.14106,0.149102,0.147095,0.11975,0.164154,
"Indirect","201705",0.143607,0.139066,0.148148,0.150912,0.112601,0.170854,
"Indirect","201706",0.138357,0.133442,0.143271,0.148458,0.115252,0.169809,
"Indirect","201707",0.137665,0.133487,0.141842,0.144971,0.1166,0.16986,
"Indirect","201708",0.154837,0.151108,0.158565,0.148978,0.122542,0.170854,
"Indirect","201709",0.139054,0.134793,0.143314,0.149118,0.111912,0.163736,
"Indirect","201710",0.147388,0.144168,0.150609,0.149761,0.124863,0.161375,
"Indirect","201711",0.154238,0.151068,0.157407,0.153294,0.128301,0.171185,
"Indirect","201712",0.149352,0.145543,0.153162,0.150743,0.109253,0.168916,
"Indirect","201801",0.1482,0.143833,0.152566,0.150472,0.114549,0.172681,
"Indirect","201802",0.155031,0.151552,0.158511,0.150499,0.120341,0.17532,
"Indirect","201803",0.15312,0.149851,0.15639,0.151329,0.118769,0.165923,
"Indirect","201804",0.149175,0.145689,0.15266,0.149396,0.121807,0.165977,
"Indirect","201805",0.150708,0.147082,0.154334,0.151664,0.122432,0.179805,
"Indirect","201806",0.151252,0.147729,0.154775,0.151468,0.121256,0.175993,
"Indirect","201807",0.155632,0.152915,0.158348,0.153356,0.140298,0.172314,
"Indirect","201808",0.155259,0.152067,0.158451,0.155933,0.120686,0.173109,
"Indirect","201809",0.155844,0.15272,0.158968,0.154385,0.130467,0.176208,
"Indirect","201810",0.150353,0.14608,0.154626,0.151371,0.123497,0.173259,
"Indirect","201811",0.150727,0.146609,0.154844,0.15144,0.11559,0.169892,
"Indirect","201812",0.15843,0.155118,0.161742,0.153945,0.139319,0.179117,
"Indirect","201901",0.153732,0.150275,0.157189,0.155891,0.13642,0.176133,
"Indirect","201902",0.15589,0.152331,0.159448,0.150507,0.140507,0.168358,
"Indirect","201903",0.155911,0.152415,0.159407,0.153224,0.140604,0.175698,
"Indirect","201904",0.155039,0.151083,0.158995,0.150258,0.142466,0.176599,
"Indirect","201905",0.153214,0.149964,0.156463,0.149332,0.136739,0.176545,
"Indirect","201906",0.150595,0.147464,0.153726,0.14983,0.138779,0.168521,
"Indirect","201907",0.154629,0.152078,0.15718,0.15165,0.136017,0.171381,
"Indirect","201908",0.150575,0.146921,0.154229,0.150473,0.13763,0.177862,
"Indirect","201909",0.151318,0.148374,0.154262,0.149875,0.141778,0.173358,
"Indirect","201910",0.156337,0.153147,0.159526,0.151309,0.126462,0.176582,
"Indirect","201911",0.153434,0.1497,0.157169,0.153572,0.139296,0.172843,
"Indirect","201912",0.158736,0.15464,0.162831,0.15133,0.135817,0.174649,
"Indirect","202001",0.158375,0.154561,0.162188,0.156417,0.135663,0.171358,
"Indirect","202002",0.153979,0.150495,0.157462,0.152789,0.138776,0.172184,
"Indirect","202003",0.149427,0.145682,0.153172,0.14889,0.137905,0.171303,
"Indirect","202004",0.156108,0.150234,0.161983,0.152479,0.139322,0.177812,
"Indirect","202005",0.148784,0.136198,0.161371,0.148252,0.130485,0.183367,
"Indirect","202006",0.168166,0.1581,0.178233,0.171431,0.149211,0.174002,
"Indirect","202007",0.164778,0.158389,0.171167,0.166341,0.132057,0.17934,
"Indirect","202008",0.154103,0.148889,0.159316,0.148349,0.138072,0.178243,
"Indirect","202009",0.156324,0.150967,0.161682,0.150656,0.146264,0.177319,
"Indirect","202010",0.149468,0.144338,0.154597,0.148913,0.129894,0.178817,
"Indirect","202011",0.156628,0.152361,0.160895,0.150033,0.146839,0.174504,
"Indirect","202012",0.151639,0.146511,0.156767,0.14912,0.120302,0.167684,
"Indirect","202101",0.145643,0.141606,0.149679,0.147802,0.122658,0.168615,
"Indirect","202102",0.150879,0.144616,0.157141,0.150252,0.122716,0.177309,
"Indirect","202103",0.152219,0.148414,0.156024,0.15087,0.14306,0.171219,
"Indirect","202104",0.153222,0.148442,0.158002,0.152779,0.110657,0.169658,
"Indirect","202105",0.153273,0.147373,0.159173,0.146418,0.131021,0.172771,
"Indirect","202106",0.149025,0.144077,0.153973,0.148941,0.127574,0.171325,
"Indirect","202107",0.15114,0.146597,0.155682,0.146604,0.129004,0.169739,
"Indirect","202108",0.148614,0.14369,0.153538,0.146197,0.141949,0.170858,
"Indirect","202109",0.153477,0.145493,0.161462,0.149468,0.130843,0.186454,
"Indirect","202110",0.151978,0.145792,0.158164,0.149782,0.137633,0.171207,
"Indirect","202111",0.140357,0.121362,0.159351,0.138991,0.105482,0.152889,
"Direct","All",10.9481,10.76883,11.12737,11.262053,0.165286,23.455608,
"Direct","201101",,,,1.02802,1.02802,1.02802,
"Direct","201102",,,,1.056455,1.056455,1.056455,
"Direct","201104",,,,0.342816,0.342816,1.451502,
"Direct","201105",,,,1.276523,0.253323,7.147873,
"Direct","201107",,,,0.553637,0.553637,1.494376,
"Direct","201108",,,,1.28871,1.28871,1.346289,
"Direct","201109",,,,1.416252,0.182514,8.708208,
"Direct","201110",1.202901,-1.897111,4.302914,1.420879,1.420879,1.420879,
"Direct","201111",,,,1.536879,1.468752,9.08515,
"Direct","201112",3.369384,0.199635,6.539133,1.904842,1.904842,1.904842,
"Direct","201201",0.920084,-0.174248,2.014417,0.879224,0.879224,0.879224,
"Direct","201202",1.097064,-1.025858,3.219987,1.558928,1.558928,1.558928,
"Direct","201203",5.993184,5.097967,6.888402,4.509022,0.04309,9.519325,
"Direct","201204",1.794015,0.490099,3.09793,0.929717,0.007676,8.229713,
"Direct","201205",1.034105,0.196178,1.872032,1.643148,-0.001291,6.257895,
"Direct","201206",2.596079,1.298104,3.894054,1.219677,0.086417,9.875724,
"Direct","201207",0.844802,0.050153,1.639451,1.132118,0.127605,1.132118,
"Direct","201208",0.689016,0.245259,1.132774,1.140231,0.086097,5.896728,
"Direct","201209",0.276228,0.057807,0.494649,0.897243,0.082535,2.182422,
"Direct","201210",0.59521,0.355095,0.835325,1.050782,0.073125,2.447046,
"Direct","201211",0.735092,0.503161,0.967022,1.03968,0.125987,2.161214,
"Direct","201212",1.225673,0.812873,1.638472,1.237047,0.086851,3.510269,
"Direct","201301",0.661781,0.463952,0.85961,1.262664,0.177319,1.262664,
"Direct","201302",0.9212,0.627178,1.215223,1.1935500000000001,0.075994,1.87867,
"Direct","201303",1.000058,0.667859,1.332257,1.370119,0.086986,3.314975,
"Direct","201304",1.195642,0.813676,1.577608,1.468074,0.115637,5.829574,
"Direct","201305",0.802413,0.502741,1.102085,0.974407,0.102284,4.500097,
"Direct","201306",1.092662,0.710065,1.475258,1.126887,0.117722,5.979668,
"Direct","201307",1.1139540000000001,0.750597,1.477311,1.082316,0.127307,7.287989,
"Direct","201308",2.054341,1.637509,2.471173,1.22752,0.116084,7.297436,
"Direct","201309",1.886353,1.468414,2.304292,1.145941,0.110192,5.498276,
"Direct","201310",1.31668,0.901834,1.731527,1.114696,0.085418,9.635816,
"Direct","201311",2.07302,1.601954,2.544085,1.339917,0.107014,8.81119,
"Direct","201312",1.432562,0.928511,1.936613,1.138949,0.128872,5.247428,
"Direct","201401",2.396704,1.767067,3.02634,1.270196,0.123482,9.406256,
"Direct","201402",2.784689,2.164085,3.405294,1.712034,0.196747,10.451086,
"Direct","201403",2.000612,1.500409,2.500815,1.287085,0.11476,7.413661,
"Direct","201404",2.507244,1.930255,3.084234,1.437271,0.143845,9.032275,
"Direct","201405",2.282774,1.740327,2.825222,1.300232,0.098529,8.132009,
"Direct","201406",2.712644,2.123772,3.301517,1.966618,0.145964,8.972646,
"Direct","201407",2.634978,1.994753,3.275202,1.649496,0.116852,9.613927,
"Direct","201408",2.69403,2.050293,3.337767,1.87301,0.113107,8.112717,
"Direct","201409",2.757087,2.087227,3.426946,1.45816,0.083961,9.66846,
"Direct","201410",2.892351,2.303721,3.480981,1.825577,0.092433,7.989808,
"Direct","201411",2.785392,2.02322,3.547565,1.696837,0.136037,7.976676,
"Direct","201412",2.900697,2.231334,3.57006,2.01487,0.165981,9.578145,
"Direct","201501",3.330364,2.546297,4.114431,2.507958,0.12584,9.356483,
"Direct","201502",3.675572,2.872277,4.478868,4.111309,0.129265,9.182051,
"Direct","201503",3.828937,3.118269,4.539604,4.772361,0.14431,8.658962,
"Direct","201504",5.170243,4.317433,6.023054,5.642315,0.153661,9.089545,
"Direct","201505",6.140237,5.224532,7.055942,7.666592,0.192891,11.973312,
"Direct","201506",5.551078,4.469744,6.632413,6.685207,0.176552,12.408915,
"Direct","201507",5.843813,4.762886,6.92474,7.232488,0.137543,9.971152,
"Direct","201508",6.776039,5.574982,7.977097,8.109785,0.156782,13.320671,
"Direct","201509",6.13386,4.972159,7.295562,6.629779,0.166674,13.053972,
"Direct","201510",9.014496,7.64848,10.380512,10.106112,0.316814,15.09561,
"Direct","201511",9.726615,7.942911,11.510318,8.512967,0.167159,15.206835,
"Direct","201512",8.859312,7.147333,10.571292,8.35609,0.241141,17.846785,
"Direct","201601",7.492229,5.866765,9.117693,10.381958,0.142839,16.101983,
"Direct","201602",11.88538,10.422606,13.348154,12.415432,0.161398,16.894098,
"Direct","201603",8.984205,6.958705,11.009705,9.300261,0.218898,16.708713,
"Direct","201604",13.507211,11.858252,15.156171,11.351844,0.281812,23.152099,
"Direct","201605",13.296293,11.359672,15.232914,13.801357,0.273085,17.594389,
"Direct","201606",12.091798,10.372223,13.811373,12.678886,0.488681,21.539572,
"Direct","201607",13.775535,12.10812,15.44295,13.231068,0.585528,19.058573,
"Direct","201608",9.631465,7.458851,11.804079,11.286612,0.120799,22.154097,
"Direct","201609",13.510465,11.333855,15.687075,12.72034,0.324962,27.36081,
"Direct","201610",11.450533,8.83128,14.069786,13.665342,0.100613,23.678261,
"Direct","201611",12.600572,10.70005,14.501094,14.46888,0.111947,19.795459,
"Direct","201612",13.575412,11.562254,15.588571,15.956462,0.153287,22.712348,
"Direct","201701",15.296308,13.176375,17.416241,15.229885,0.140632,21.085229000000002,
"Direct","201702",13.632134,11.838669,15.425599,15.86119,0.11095,20.757131,
"Direct","201703",12.468859,10.252366,14.685352,14.45457,0.129556,23.908713,
"Direct","201704",12.994585,11.250645,14.738525,14.768499,0.270558,21.609193,
"Direct","201705",10.981017,9.197868,12.764165,15.639496,0.273909,23.15985,
"Direct","201706",12.513677,10.137124,14.89023,16.145922,0.2544,29.74473,
"Direct","201707",13.223436,11.041574,15.405298,16.970792,0.235951,23.089737,
"Direct","201708",14.537975,13.084933,15.991017,15.345969,0.553568,23.963116,
"Direct","201709",12.401212,10.448728,14.353696,18.017955,0.181481,24.457269,
"Direct","201710",14.515502,12.786329,16.244675,14.329587,0.577998,23.156815,
"Direct","201711",15.455576,14.129142,16.78201,15.410822,0.406196,21.612278,
"Direct","201712",13.95726,12.178112,15.736409,14.729969,1.143765,22.217894,
"Direct","201801",13.938308,12.190481,15.686136,13.744808,0.234129,25.733002,
"Direct","201802",14.666517,13.481483,15.851551,15.119553,1.818162,19.453693,
"Direct","201803",12.04728,10.569538,13.525021,14.872408,0.394005,26.371624,
"Direct","201804",13.498574,11.888077,15.109072,14.388502,0.323395,20.439011,
"Direct","201805",16.723452,15.098755,18.348149,15.331846,0.314453,22.978308,
"Direct","201806",13.078264,11.442592,14.713937,15.382597,0.452443,27.068471,
"Direct","201807",17.758373,16.394095,19.12265,18.366815,3.940342,23.983725,
"Direct","201808",14.78117,13.510907,16.051432,16.288276,0.404237,23.035404,
"Direct","201809",16.754596,15.405232,18.10396,17.026918,0.8363,26.08292,
"Direct","201810",15.129717,13.261592,16.997842,16.235195,0.534321,23.137835,
"Direct","201811",15.360694,13.633619,17.087769,15.665339,0.256371,24.247154,
"Direct","201812",16.897063,15.333975,18.460151,20.428424,0.637215,24.682624,
"Direct","201901",17.669376,16.078395,19.260357,19.565836,0.752622,24.595976,
"Direct","201902",17.749992,15.952578,19.547406,20.245032,1.190285,21.802944,
"Direct","201903",18.69797,16.996226,20.399713,21.413931,0.67623200000000006,26.122675,
"Direct","201904",15.982536,14.172533,17.792538,15.497312,7.276636,24.298906,
"Direct","201905",14.41106,13.002823,15.819298,15.023538,0.539154,25.256788,
"Direct","201906",18.286273,16.837936,19.73461,17.519469,11.720324,25.422563,
"Direct","201907",15.639165,14.571177,16.707153,15.717226,12.622581,20.152158,
"Direct","201908",17.395565,16.117636,18.673494,18.393968,0.733586,21.738932,
"Direct","201909",18.446411,17.277449,19.615373,18.256137,13.426463,24.660756,
"Direct","201910",16.719546,15.433343,18.005749,18.084172,0.706038,19.656354,
"Direct","201911",18.022441,16.455537,19.589345,17.507761,14.153858,24.988783,
"Direct","201912",15.781368,14.171743,17.390993,16.753109,0.663606,20.137059,
"Direct","202001",15.007249,13.461555,16.552942,14.814914,6.744766,22.516992,
"Direct","202002",15.466829,14.03391,16.899749,17.806863,12.349824,23.679585,
"Direct","202003",16.794622,15.408175,18.181068,16.264435,12.788844,23.651423,
"Direct","202004",15.019056,12.723925,17.314187,19.920267,9.166255,26.39701,
"Direct","202005",19.196199,14.238268,24.15413,21.275678,13.615805,27.01515,
"Direct","202006",13.281985,7.808535,18.755434,12.578917,10.827924,32.105027,
"Direct","202007",16.656942,12.648183,20.665702,16.308472,0.696745,24.090574,
"Direct","202008",19.068945,17.319281,20.81861,20.018771,17.507631,22.346582,
"Direct","202009",17.254869,15.109099,19.400639,17.300327,13.843806,21.943144,
"Direct","202010",17.303574,14.828448,19.778701,19.211462,7.48676,22.243337,
"Direct","202011",17.595091,15.886376,19.303805,17.42911,1.323667,20.542266,
"Direct","202012",15.851325,13.711892,17.990758,15.836268,0.5141,24.0727,
"Direct","202101",17.738702,16.084487,19.392917,17.509745,0.508973,24.693091,
"Direct","202102",17.651443,15.335156,19.96773,19.209366,0.50332,22.173768,
"Direct","202103",17.186815,15.591644,18.781986,18.58483,4.541533,18.636976,
"Direct","202104",16.655844,14.939773,18.371915,17.162873,11.550825,25.233769,
"Direct","202105",18.357684,16.27843,20.436938,17.409572,11.672918,26.816058,
"Direct","202106",17.152906,15.132711,19.1731,17.588422,8.170539,24.93913,
"Direct","202107",18.52104,16.918346,20.123734,19.711191,1.270801,22.270908,
"Direct","202108",19.748948,16.972919,22.524978,20.698665,16.797808,27.43725,
"Direct","202109",19.368378,16.89642,21.840336,21.011109,8.051225,26.804592,
"Direct","202110",20.45066,17.643978,23.257343,19.706642,5.886936,29.066731,
"Direct","202111",28.350615,17.587582,39.113649,18.95283,18.95283,40.994358,
