,"Heating Degree Days U.S. Average , Monthly /// units: total degree days /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,785.95354688
1,202211,501.4356345
2,202210,253.7251979
3,202209,58.564069207
4,202208,11.153436866
5,202207,7.2535136003
6,202206,31.740129194
7,202205,144.30274413
8,202204,315.7349563
9,202203,555.59783123
10,202202,679.22260118
11,202201,842.29968044
12,202112,775.6262773
13,202111,479.41138122
14,202110,180.70821549
15,202109,40.246646071
16,202108,5.9594268075
17,202107,4.7113734901
18,202106,12.348325595
19,202105,151.40774067
20,202104,309.13555072
21,202103,507.94807849
22,202102,794.61138108
23,202101,805.06905527
24,202012,751.86990975
25,202011,423.36753527
26,202010,248.56243564
27,202009,58.91691153
28,202008,7.2662140052
29,202007,4.7973748034
30,202006,25.636547597
31,202005,157.33687843
32,202004,360.46423471
33,202003,485.43459846
34,202002,653.85725999
35,202001,741.18705266
36,201912,717.69573177
37,201911,591.28723226
38,201910,254.92159839
39,201909,41.395192816
40,201908,10.280453424
41,201907,5.2700498714
42,201906,34.301378491
43,201905,159.04834342
44,201904,289.04415945
45,201903,634.07224597
46,201902,721.53463144
47,201901,861.54190299
48,201812,733.53041493
49,201811,595.41541947
50,201810,254.67553019
51,201809,37.777571794
52,201808,6.9667562562
53,201807,3.546855229
54,201806,26.471681568
55,201805,85.657945313
56,201804,412.08706251
57,201803,610.96560587
58,201802,626.88032685
59,201801,898.66374611
60,201712,800.20978567
61,201711,491.83257315
62,201710,193.39199261
63,201709,44.640946959
64,201708,15.227203829
65,201707,5.2257020029
66,201706,24.789034548
67,201705,154.38107622
68,201704,248.7061839
69,201703,544.87626556
70,201702,548.80817924
71,201701,767.99554477
72,201612,784.68172771
73,201611,419.31258569
74,201610,198.35910587
75,201609,38.943164541
76,201608,6.4021652391
77,201607,5.6617499437
78,201606,20.858077128
79,201605,150.91458897
80,201604,310.58521191
81,201603,451.01277823
82,201602,629.54125182
83,201601,872.35065498
84,201512,582.06179229
85,201511,445.97529442
86,201510,227.99839987
87,201509,31.963296719
88,201508,11.012950672
89,201507,6.4480467487
90,201506,24.366336831
91,201505,118.88656352
92,201504,300.72751236
93,201503,585.59682782
94,201502,869.18000722
95,201501,891.99526131
96,201412,706.70584042
97,201411,615.24184186
98,201410,221.18594972
99,201409,57.678181499
100,201408,13.032753355
101,201407,9.8290158865
102,201406,27.974250149
103,201405,127.17984214
104,201404,325.48892295
105,201403,684.45807057
106,201402,800.20970423
107,201401,971.37251695
108,201312,830.20005601
109,201311,572.89252631
110,201310,257.69090688
111,201309,59.62771637
112,201308,11.665186608
113,201307,5.1928900154
114,201306,26.443113522
115,201305,136.30469398
116,201304,348.4539996
117,201303,660.62764605
118,201302,733.96090644
119,201301,828.77159297
120,201212,699.24385132
121,201211,540.95365749
122,201210,262.14555228
123,201209,60.961195433
124,201208,8.7458837955
125,201207,4.9611902131
126,201206,31.630077955
127,201205,98.832382705
128,201204,292.35574192
129,201203,381.4400121
130,201202,629.28960735
131,201201,762.71116157
132,201112,724.03264542
133,201111,473.13491509
134,201110,256.34269383
135,201109,57.507140156
136,201108,9.3273157862
137,201107,6.9580960139
138,201106,38.94972389
139,201105,157.58243403
140,201104,314.15215865
141,201103,581.12758589
142,201102,741.69613934
143,201101,953.60274795
144,201012,901.30431558
145,201011,525.36132258
146,201010,237.51084879
147,201009,52.820091203
148,201008,9.1613303067
149,201007,6.2945016528
150,201006,31.168860822
151,201005,141.43935327
152,201004,272.28323315
153,201003,550.79562717
154,201002,807.95186605
155,201001,927.23377243
156,200912,871.00636965
157,200911,446.95669923
158,200910,332.25883562
159,200909,62.452231247
160,200908,14.59837565
161,200907,15.329474747
162,200906,43.872681375
163,200905,136.51003415
164,200904,334.39747413
165,200903,577.55354842
166,200902,694.42468487
167,200901,951.0780107
168,200812,825.95924135
169,200811,535.10604674
170,200810,284.11274627
171,200809,55.671245799
172,200808,15.416448832
173,200807,7.0387165684
174,200806,29.911452267
175,200805,188.75740428
176,200804,325.86204343
177,200803,610.90033994
178,200802,729.47747317
179,200801,885.70398275
180,200712,797.56900349
181,200711,522.20144752
182,200710,182.5657037
183,200709,50.206935406
184,200708,8.9697307868
185,200707,6.5190904242
186,200706,27.580077166
187,200705,118.11840378
188,200704,373.91010987
189,200703,500.32223677
190,200702,839.94938718
191,200701,839.91258482
192,200612,691.93473207
193,200611,475.64782381
194,200610,311.34602928
195,200609,87.201210593
196,200608,11.542373483
197,200607,2.9889344289
198,200606,26.047503972
199,200605,143.12456256
200,200604,275.48121361
201,200603,602.62298785
202,200602,723.88244714
203,200601,688.23011314
204,200512,863.3981098
205,200511,473.01785725
206,200510,242.72958989
207,200509,43.220958686
208,200508,7.9618882203
209,200507,4.2444800892
210,200506,30.815778559
211,200505,192.39968906
212,200504,314.64732897
213,200503,646.86250477
214,200502,673.65565634
215,200501,854.76664756
216,200412,802.37198669
217,200411,496.86805742
218,200410,259.57198774
219,200409,52.96894553
220,200408,21.511790334
221,200407,8.9468426789
222,200406,41.277861125
223,200405,116.64663411
224,200404,311.83505381
225,200403,497.59613343
226,200402,766.45298204
227,200401,967.95845237
228,200312,792.40781646
229,200311,489.61605406
230,200310,266.36892109
231,200309,67.346839618
232,200308,6.4984377637
233,200307,5.2149298848
234,200306,44.809956113
235,200305,176.6084713
236,200304,360.02837302
237,200303,580.42903109
238,200302,806.15913885
239,200301,948.36224946
240,200212,818.60484862
241,200211,567.23441857
242,200210,309.70161016
243,200209,42.827436807
244,200208,9.9867966664
245,200207,3.6575869894
246,200206,26.523019119
247,200205,195.55269162
248,200204,296.225094
249,200203,628.80363891
250,200202,672.00020004
251,200201,785.05204312
252,200112,703.85270165
253,200111,411.20594505
254,200110,271.29689488
255,200109,74.361623174
256,200108,6.8476980705
257,200107,10.417916033
258,200106,32.339009287
259,200105,123.73141484
260,200104,311.17481104
261,200103,662.9295008
262,200102,719.67241249
263,200101,928.51350061
264,200012,995.45781193
265,200011,617.65086213
266,200010,252.16518473
267,200009,75.132216004
268,200008,14.20495155
269,200007,13.95580483
270,200006,32.303204901
271,200005,125.78011424
272,200004,345.96358645
273,200003,497.93586611
274,200002,639.94758372
275,200001,882.75622867
276,199912,764.78178356
277,199911,423.11952263
278,199910,279.56306548
279,199909,66.006556361
280,199908,15.634055763
281,199907,7.1293890162
282,199906,35.223728008
283,199905,154.41026086
284,199904,332.84130876
285,199903,648.44558861
286,199902,647.38128609
287,199901,857.22022153
288,199812,726.26728558
289,199811,495.08745602
290,199810,254.55214625
291,199809,38.103993039
292,199808,7.7459686174
293,199807,5.3608808954
294,199806,47.482474723
295,199805,128.22308652
296,199804,344.28307131
297,199803,603.32697574
298,199802,630.85000086
299,199801,769.43038362
300,199712,811.66208612
301,199711,604.49231925
302,199710,284.80912026
303,199709,68.655320907
304,199708,18.877196818
305,199707,9.8241626387
306,199706,36.978766154
307,199705,206.94803459
308,199704,415.62925313
309,199703,555.8380333
310,199702,677.15646658
311,199701,934.25107639
312,199612,769.08215129
313,199611,641.37732089
314,199610,288.46923528
315,199609,81.30561654
316,199608,13.506800486
317,199607,11.523492884
318,199606,30.521435558
319,199605,177.3710732
320,199604,370.58372805
321,199603,716.67526785
322,199602,747.82903634
323,199601,950.33885048
324,199512,882.2735632
325,199511,615.84380016
326,199510,246.03706822
327,199509,86.448971737
328,199508,10.218308922
329,199507,6.6791043074
330,199506,36.327993373
331,199505,190.42540514
332,199504,389.51654215
333,199503,566.04598696
334,199502,754.07225492
335,199501,856.95197637
336,199412,737.82054724
337,199411,501.69689882
338,199410,284.56368247
339,199409,74.143513818
340,199408,21.798158579
341,199407,7.8899173003
342,199406,24.460424327
343,199405,187.36416352
344,199404,308.05722296
345,199403,603.09091313
346,199402,820.48620183
347,199401,1037.4886976
348,199312,838.86235123
349,199311,598.20189498
350,199310,316.91971097
351,199309,99.049470518
352,199308,13.848990719
353,199307,15.067246154
354,199306,44.009123948
355,199305,143.09327357
356,199304,384.58977202
357,199303,673.85358755
358,199302,837.39647954
359,199301,871.30348803
360,199212,840.10779935
361,199211,584.11473536
362,199210,316.11796991
363,199209,84.168332363
364,199208,30.51571498
365,199207,19.206898117
366,199206,50.791809943
367,199205,164.63873542
368,199204,358.68448632
369,199203,617.24154501
370,199202,654.72743277
371,199201,863.4420579
372,199112,767.33816089
373,199111,605.12252688
374,199110,255.41507708
375,199109,77.711054249
376,199108,11.303256457
377,199107,7.4677465861
378,199106,35.183717613
379,199105,113.59410357
380,199104,305.20195221
381,199103,582.94465938
382,199102,649.42501069
383,199101,936.49857003
384,199012,809.2472176
385,199011,480.6640472
386,199010,261.3958774
387,199009,66.011158315
388,199008,14.365518245
389,199007,8.0600451246
390,199006,33.441763054
391,199005,201.6328035
392,199004,338.19470521
393,199003,550.39607739
394,199002,670.05268247
395,199001,745.07684555
