County,Latitude,Longitude,SourceType,UseType,NMOSE_POD,PermittedRight_gal,RelatedtoCOG
Lea,32.70471174,-103.124477,GW,Municipal,L-00220,2620180925,MAYBE
Eddy,32.07345578,-104.0128204,GW,Commercial,SP-03254,2091311718,NO
Lea,32.95112416,-103.3423069,GW,Municipal,L-04058-S12,1520140534,MAYBE
Otero,32.78005568,-105.9468151,GW,Municipal,T-00756-S-4,1182598000,MAYBE
Lea,33.05473326,-103.6572638,GW,Municipal,L-07321,891528336,MAYBE
Lea,32.99888884,-103.7341389,GW,Oil Production,L-05125-POD11,812346543,YES
Lea,32.87329815,-103.4993194,GW,Commercial,L-07121,651702000,NO
Eddy,32.82125837,-103.5538609,GW,Mining or Oil,L-03616-S5,651702000,YES
Lea,32.82125837,-103.5538609,GW,Mining or Oil,L-03616-S5,651702000,YES
Chaves,33.32358001,-104.4479012,GW,Municipal,RA-01271-REPAIR,599513703.8,MAYBE
Roosevelt,33.76977774,-103.1275551,GW,Exploration,CL-00235-POD2,547429680,MAYBE
Lea,32.70329864,-103.196533,GW,Municipal,L-04920-X,512791718.7,MAYBE
Roosevelt,34.26570064,-103.1889094,GW,Municipal,P-02939,488776500,MAYBE
Lea,32.97969725,-103.7604887,GW,Oil Production,L-05125,488646159.6,YES
Eddy,32.59603925,-103.9803103,GW,Industrial,CP-00645,472809801,NO
Lea,32.59603925,-103.9803103,GW,Industrial,CP-00645,472809801,NO
Eddy,32.78969104,-103.5032667,GW,Industrial,L-04247-POD5,456191400,NO
Eddy,32.2893118,-104.2048438,GW,Municipal,C-00228-A,406178485.1,MAYBE
Lea,33.35685443,-103.6732018,GW,Secondary Recovery of Oil,L-09615,335626530,YES
Roosevelt,34.2139158,-103.143043,GW,Municipal,P-02402-POD1,325851000,MAYBE
Lea,32.03779311,-103.3062431,GW,Municipal,J-00002-X2,321289086,MAYBE
Otero,32.8834998,-106.0168222,GW,Commercial,T-04386-S,316075470,NO
Lea,32.39719041,-103.3404205,GW,Secondary Recovery of Oil,CP-00292-POD1,306625791,YES
Lea,32.78330879,-103.5043132,GW,Oil Production,L-07119,296524410,YES
Otero,32.94640669,-105.7096041,GW,Municipal,SD-03340-POD1,276973350,MAYBE
Chaves,33.10937837,-104.3306736,GW,Municipal,RA-04630-S,265242714,MAYBE
Eddy,32.27461521,-104.2367952,GW,Municipal,C-00259-S,260680800,MAYBE
Lea,32.9687724,-103.7631794,GW,Secondary Recovery of Oil,L-04816-S,260322363.9,YES
Eddy,32.87323304,-103.5249291,GW,Commercial,L-07157,257422290,NO
Lea,32.92803314,-103.7789979,GW,Commercial,L-08084,244388250,MAYBE
Otero,33.07765466,-106.0051977,GW,Municipal,T-03861,218010611.6,MAYBE
Eddy,32.21845167,-103.9969098,GW,Mining or Oil,C-00863,210173895,MAYBE
Otero,33.29718965,-106.0648467,GW,Commercial,T-02015,204471502.5,NO
Otero,32.72468877,-105.9809427,GW,Municipal,T-01125,189645282,MAYBE
Eddy,32.9179806,-104.4288086,GW,Exploration,RA-01253-S,175405593.3,MAYBE
Chaves,33.45318121,-104.5782782,GW,Municipal,RA-00499-A,170279957.1,MAYBE
Lea,32.69933148,-103.2080015,GW,Commercial,L-02251,169963881.6,YES
Eddy,32.78169407,-104.4138023,GW,Municipal,RA-00731-POD4,167063807.7,MAYBE
Roosevelt,34.14496648,-103.1866538,GW,Exploration,P-02082,158656851.9,MAYBE
Lea,32.76056653,-103.5031992,GW,Secondary Recovery of Oil,L-04931-X,158363586,YES
Eddy,32.83627128,-104.4030796,GW,Municipal,RA-00820,157786829.7,MAYBE
Lea,32.86947301,-103.3057711,GW,Secondary Recovery of Oil,L-04988,157451203.2,YES
Eddy,32.18017134,-104.3782286,GW,Municipal,C-00906-X,149891460,MAYBE
Lea,33.23605757,-103.7564456,GW,Secondary Recovery of Oil,L-03322,137509122,YES
Chaves,33.36381233,-104.5445709,GW,Commercial,RA-02027,130340400,NO
Lea,32.05680844,-103.1688407,GW,Secondary Recovery of Oil,CP-00452-POD1,129102166.2,YES
Chaves,33.29680002,-104.4498637,GW,Municipal,RA-00241-C,123302018.4,MAYBE
Lea,32.87242229,-103.5045072,GW,Secondary Recovery of Oil,L-07685,119261466,YES
Lea,32.95213217,-103.3435076,GW,Commercial,L-00955-S,117104332.4,NO
Lea,32.58486228,-103.180423,GW,Industrial,L-00407-POD4,99498602.85,NO
Lea,32.8142733,-103.5043927,GW,Industrial,L-04829-POD7,97755300,YES
Lea,33.25598196,-103.3187211,GW,Municipal,L-02821-S,94874777.16,MAYBE
Lea,33.04369527,-103.1720509,GW,Commercial,L-00610-POD4,93018078.16,MAYBE
Chaves,33.38392592,-104.5829565,GW,Municipal,RA-01836,92867535,MAYBE
Lea,32.87214159,-103.438012,GW,Secondary Recovery of Oil,L-04084-S,84512715.36,YES
Lea,32.87236416,-103.5109743,GW,Secondary Recovery of Oil,L-10142,81462750,YES
Otero,32.99919197,-105.9916441,GW,Commercial,T-01429,78855942,MAYBE
Otero,32.82874825,-105.9794036,GW,Commercial,T-00134,78204240,MAYBE
Roosevelt,34.21817663,-103.5415908,GW,Exploration,P-01320,77422197.6,MAYBE
Otero,32.42422493,-105.5848856,GW,Municipal,H-01122-POD9,76560973.41,MAYBE
Roosevelt,34.19974715,-103.3020991,GW,Exploration,P-00382,73218719.7,MAYBE
Lea,32.87059999,-103.5044736,GW,Commercial,L-06357,67711837.8,YES
Eddy,32.94183036,-104.46553,GW,Municipal,RA-01890-CS,67363177.23,MAYBE
Roosevelt,33.71465803,-103.0595349,GW,Industrial,CL-00042-POD1,65170200,YES
Lea,32.69224253,-103.3390246,GW,Oil Production,L-05170,65170200,YES
Lea,32.75138918,-103.1841668,GW,Commercial,L-02685-POD3,64029721.5,NO
Lea,32.6103202,-103.2147853,GW,Oil Production,L-05569,63060966.48,YES
Lea,33.20888936,-103.7652631,GW,Secondary Recovery of Oil,L-03462,62831241.52,YES
Roosevelt,34.20671199,-103.3961445,GW,Exploration,P-01042-POD1,61976860.2,MAYBE
Roosevelt,34.300058,-103.1056749,GW,Municipal,P-02921,60950429.55,MAYBE
Lea,32.83825638,-103.2091356,GW,Commercial,L-03019-POD2,60608286,NO
Roosevelt,34.27643441,-103.1144493,GW,Exploration,P-02396-A,60217264.8,MAYBE
Lea,33.2143305,-103.7564633,GW,Secondary Recovery of Oil,L-03972,59897930.82,YES
Roosevelt,33.84829456,-103.5809806,GW,Municipal,CL-00004-POD2,58653180,MAYBE
Roosevelt,33.84188919,-103.5840553,GW,Commercial,CL-00228-POD1,58653180,MAYBE
Chaves,33.4013116,-104.5147814,GW,Commercial,RA-00502,57023925,NO
Lea,33.31040815,-103.1074638,GW,Industrial,L-00087,57023925,YES
Lea,32.78667232,-103.3498707,GW,Commercial,L-00376,56276096.96,YES
Eddy,32.84715059,-104.3901299,GW,Industrial,RA-00768,55267588.11,YES
Otero,32.73740063,-105.9702065,GW,Municipal,T-01126,55231744.5,MAYBE
Lea,32.59667323,-103.21154,GW,Secondary Recovery of Oil,L-04412-POD1,53015957.7,YES
Roosevelt,34.22560401,-103.1659625,GW,Municipal,P-02910-A,52543473.75,MAYBE
Lea,32.8297287,-103.5033218,GW,Mining or Oil,L-10580,51484458,YES
Chaves,33.39863594,-104.5202374,GW,Industrial,RA-02065-CLW,51484458,NO
Lea,32.69563262,-103.1416258,GW,Industrial,L-01411,50506905,NO
Chaves,33.12029856,-104.3522969,GW,Commercial,RA-04942-S,44641587,NO
Otero,32.38407234,-106.1303755,GW,Industrial,T-05749-POD1,44315736,NO
Chaves,33.26580146,-104.5368021,GW,Municipal,RA-02084-X2,41057226,MAYBE
Lea,32.69586742,-103.3519492,GW,Commercial,L-04209-POD2,40750926.06,YES
Roosevelt,34.22291689,-103.388917,GW,Exploration,P-00330-POD3,39102120,MAYBE
Lea,32.94926479,-103.383482,GW,Commercial,L-00097,39102120,MAYBE
Chaves,33.49737424,-104.19782,GW,Commercial,RA-09061,39102120,NO
Lea,32.85584118,-103.2941801,GW,Commercial,L-04359-POD4,39102120,MAYBE
Otero,32.99102977,-105.8496501,GW,Municipal,SD-01112-1,38808854.1,MAYBE
Roosevelt,33.8797225,-103.1339166,GW,Municipal,CL-00237-POD1,37472865,MAYBE
Roosevelt,34.23858575,-103.190055,GW,Commercial,P-03505,36495312,YES
Roosevelt,34.19309469,-103.3444775,GW,Industrial,P-01150-POD1,35843610,NO
Chaves,33.08756394,-104.3608306,GW,Municipal,RA-00406-AA,34800886.8,MAYBE
Eddy,32.32713776,-103.8094519,GW,Commercial,C-02492,34214355,YES
Otero,32.98735855,-105.9685867,GW,Industrial,T-00375-OLD,32585100,NO
Lea,32.85829075,-103.627392,GW,Secondary Recovery of Oil,L-10212,32585100,YES
Lea,32.19648131,-103.1604261,GW,Exploration,CP-00295,32585100,MAYBE
Lea,32.39999995,-103.2597223,GW,Commercial,CP-01318-POD2,32585100,MAYBE
Lea,33.0301802,-103.2033354,GW,Commercial,L-00706-POD2,32585100,NO
Eddy,32.63687599,-103.8549588,GW,Oil Production,CP-00079-POD1,32585100,YES
Otero,32.94102336,-105.9545172,GW,Commercial,T-02236-S,31607547,MAYBE
Lea,32.58669976,-103.1653756,GW,Industrial,L-03799,31281696,NO
Chaves,33.37686862,-104.4686144,GW,Commercial,RA-04033-A,30040203.69,NO
Roosevelt,33.8370946,-103.3152606,GW,Municipal,CL-00129-POD1,29978292,MAYBE
Lea,32.26452203,-103.2316208,GW,Commercial,CP-00106-POD1,29326590,NO
Roosevelt,34.29840127,-103.1734968,GW,Commercial,P-02771,28642302.9,NO
Chaves,33.00462378,-104.3399336,GW,Municipal,RA-00633-A,28544547.6,MAYBE
Otero,33.36193424,-106.0355612,GW,Commercial,SD-00958-2,27374742.51,NO
Lea,32.79741653,-103.6605902,GW,Oil Production,RA-09193,26719782,YES
Chaves,33.32894197,-103.8019709,GW,Commercial,L-11326,26068080,YES
Lea,32.4741336,-103.2050418,GW,Commercial,CP-01245-POD1,26068080,YES
Lea,32.62309159,-103.2682567,GW,Municipal,L-05611,26068080,MAYBE
Chaves,33.18388055,-104.3699793,GW,Municipal,RA-00583-A,25709643.9,MAYBE
Lea,32.1239183,-103.1603788,GW,Commercial,CP-00425-POD1,22809570,YES
Eddy,32.63687599,-103.8549588,GW,Oil Production,CP-00076-POD1,22809570,YES
Otero,32.94120475,-105.7371831,GW,Exploration,PN-00165,21180315,MAYBE
Lea,32.2693226,-103.5805094,GW,Commercial,C-02279,21017389.5,YES
Lea,32.13668922,-103.2604563,GW,Commercial,CP-00175-POD1,20854464,NO
Roosevelt,34.22933622,-103.5095333,GW,Commercial,P-00193-A,20766484.23,MAYBE
Eddy,32.82868384,-104.2857246,GW,Commercial,RA-01716,20724123.6,NO
Eddy,32.84716254,-104.3944471,GW,Municipal,RA-03890,18866772.9,MAYBE
Chaves,32.99907377,-104.3637494,GW,Municipal,RA-03636-CLW,17107177.5,MAYBE
Lea,32.69372681,-103.2146838,GW,Industrial,L-01968,16976837.1,NO
Lea,32.73018586,-103.1910908,GW,Commercial,L-06344,16709639.28,MAYBE
Lea,32.69508364,-103.2415834,GW,Oil Field Maintenance,L-11313,16292550,YES
Lea,32.79015573,-103.6605923,GW,Secondary Recovery of Oil,L-13031-POD1,16292550,YES
Chaves,33.25141552,-104.4111689,GW,Commercial,RA-01093-C,16149175.56,NO
Eddy,32.68894252,-104.3943653,GW,Commercial,RA-01230,15963440.49,MAYBE
Lea,32.37367983,-103.1465031,GW,Industrial,CP-00003-POD1,15767929.89,YES
Lea,32.73199919,-103.1308946,GW,Commercial,L-00143,14946785.37,MAYBE
Lea,32.79508494,-103.4927646,GW,Industrial,L-03875-S2,14663295,YES
Lea,32.68956647,-103.4965243,GW,Commercial,L-04762,14598124.8,MAYBE
Lea,32.48883422,-103.2328323,GW,Oil Production,CP-00685-POD1,13904062.17,YES
Lea,32.11668438,-103.1198488,GW,Oil Production,CP-00363-POD1,13889398.88,YES
Otero,32.96461904,-105.9674717,GW,Commercial,T-01000,13517602.88,NO
Lea,32.78746178,-103.6466017,GW,Commercial,L-10167,13034040,YES
Otero,32.93373757,-106.0303176,GW,Commercial,T-03062,13034040,NO
Eddy,32.2898391,-104.0719294,GW,Commercial,C-02847,13034040,YES
Lea,32.36371166,-103.1519031,GW,Industrial,CP-00009-S,13034040,YES
Lea,32.69392543,-103.4075779,GW,Commercial,L-05434-S,12968869.8,MAYBE
Roosevelt,34.13456625,-103.3621571,GW,Exploration,P-00826-F,12708189,MAYBE
Otero,32.95129827,-105.97075,GW,Commercial,T-01049,12610433.7,MAYBE
Lea,32.26538812,-103.1412032,GW,Secondary Recovery of Oil,CP-00110-POD1,11844683.85,YES
Lea,32.25541226,-103.1870901,GW,Secondary Recovery of Oil,CP-00039,11404785,YES
Lea,32.17674668,-103.5740355,GW,Commercial,C-02310,10753083,YES
Chaves,33.37315235,-104.883026,GW,Industrial,RA-00961-E,10753083,MAYBE
Chaves,33.44628894,-104.5002537,GW,Municipal,RA-00443-AC,10704205.35,MAYBE
Lea,32.97561115,-103.3235835,GW,Commercial,L-12330-POD1,10427232,MAYBE
Lea,32.25106876,-103.4717718,GW,Commercial,C-02397,9775530,YES
Chaves,33.81057143,-104.3546837,GW,Commercial,RA-08748,9775530,NO
Chaves,33.35111894,-104.486128,GW,Commercial,RA-04675,9775530,MAYBE
Roosevelt,34.25611761,-103.3499549,GW,Municipal,P-01110-A,9775530,MAYBE
Chaves,33.4385828,-104.5849221,GW,Municipal,RA-02684-HE,9482264.1,MAYBE
Lea,32.73226413,-103.5492803,GW,Secondary Recovery of Oil,L-06208,9456847.722,YES
Lea,32.13682406,-103.5292412,GW,Commercial,C-02373-S,8146275,YES
Roosevelt,33.87790337,-103.3381251,GW,Commercial,CL-00100-POD1,7885594.2,NO
Lea,32.73382426,-103.169612,GW,Industrial,L-00476-POD4,7820424,YES
Lea,32.47714312,-103.4256124,GW,Commercial,CP-00089-POD1,7657498.5,YES
Lea,32.79196128,-103.6692042,GW,Secondary Recovery of Oil,L-13034-POD1,7494573,YES
Lea,32.78835209,-103.6606193,GW,Secondary Recovery of Oil,L-13035-POD1,7494573,YES
Lea,32.70839044,-103.1438042,GW,Industrial,L-02097,7494573,YES
Chaves,33.38596887,-104.2323786,GW,Commercial,RA-09423,6517020,NO
Roosevelt,33.83644136,-103.7904514,GW,Oil Production,RA-10071,6517020,YES
Lea,32.83813097,-103.6981857,GW,Municipal,L-02770,6517020,MAYBE
Otero,32.02390002,-106.3101361,GW,Commercial,T-02971,6311733.87,MAYBE
Lea,32.9388276,-103.7317105,GW,Industrial,L-02847,6028243.5,MAYBE
Lea,32.77919289,-103.1459755,GW,Commercial,L-00367-POD5,5865318,MAYBE
Lea,32.92120277,-103.3391652,GW,Commercial,L-00338,5736932.706,YES
Chaves,33.35204397,-104.0506829,GW,Industrial,RA-04498,5702392.5,NO
Chaves,33.35469166,-104.5490466,GW,Industrial,RA-01626-A,5669807.4,NO
Lea,32.46345574,-103.1348254,GW,Commercial,CP-00213-POD1,4561914,MAYBE
Roosevelt,33.74808302,-103.6430557,GW,Commercial,CL-00110-POD1,4500002.31,YES
Otero,32.98386934,-105.977425,GW,Commercial,T-05832-POD1,4398988.5,NO
Lea,32.95017567,-103.3737525,GW,Commercial,L-00053-S,4301233.2,MAYBE
Lea,33.14177756,-103.3165076,GW,Commercial,L-00558-POD2,4213253.43,MAYBE
Lea,32.35192525,-103.1293939,GW,Commercial,CP-00275-POD1,3910212,MAYBE
Eddy,32.10749599,-104.4894087,GW,Commercial,C-01994,3675599.28,YES
Eddy,32.56191679,-104.291553,GW,Commercial,RA-01474-B,3421435.5,YES
Chaves,33.39303235,-104.6930848,GW,Commercial,RA-06306,3421435.5,NO
Lea,32.66591157,-103.297031,GW,Commercial,L-10271,3258510,NO
Lea,33.37136339,-103.6645652,GW,Commercial,L-06273,3258510,YES
Lea,32.82918643,-103.6616945,GW,Commercial,L-09891,3258510,NO
Lea,33.25784212,-103.3036252,GW,Commercial,L-00632-POD3,3258510,YES
Lea,32.69386099,-103.1437957,GW,Industrial,L-00937,2671978.2,YES
Lea,32.75012551,-103.1717546,GW,Commercial,L-00476-POD5,2606808,YES
Otero,32.96238901,-105.8008415,GW,Commercial,SD-03432,2189718.72,NO
Eddy,32.2018343,-104.2521513,GW,Commercial,C-00272-B,2000725.14,NO
Lea,32.73382457,-103.1567112,GW,Industrial,L-07662,1961623.02,MAYBE
Lea,32.74561426,-103.164227,GW,Industrial,L-04757,1955106,YES
Chaves,33.09671645,-104.304697,GW,Commercial,RA-01395-ENLRG,1938813.45,MAYBE
Eddy,32.78222054,-104.170205,GW,Oil Field Maintenance,RA-09001,1629255,YES
Lea,32.01055901,-103.2912567,GW,Commercial,J-00004,1629255,YES
Lea,32.64301905,-103.1868039,GW,Commercial,L-00325-POD2,1303404,MAYBE
Lea,32.25449228,-103.1156121,GW,Oil Production,CP-00112-POD1,1303404,YES
Chaves,33.43408355,-104.5369535,GW,Commercial,RA-03331,1219008.591,NO
Otero,32.95993175,-105.9705663,GW,Commercial,T-00998-A,1153512.54,MAYBE
Lea,32.74473447,-103.1309488,GW,Commercial,L-00367-POD6,990587.04,NO
Otero,33.04454303,-106.0447443,GW,Commercial,T-01664,977553,NO
Otero,32.95221532,-105.9653146,GW,Commercial,T-00119-CLW,977553,MAYBE
Chaves,33.22013262,-103.7868882,GW,Commercial,L-03834,977553,NO
Roosevelt,34.28478906,-103.6396057,GW,Exploration,P-02481-EXPL,977553,NO
Roosevelt,34.14861616,-103.3347495,GW,Exploration,P-02728-EXPL,977553,MAYBE
Roosevelt,34.24678879,-103.4461593,GW,Exploration,P-01195-EXPL,977553,MAYBE
Roosevelt,34.28480149,-103.6221581,GW,Exploration,P-00475-EXPL,977553,MAYBE
Otero,32.85275466,-105.5385842,GW,Commercial,PN-00175,977553,NO
Chaves,33.56149105,-104.3942921,GW,Commercial,RA-06861,977553,NO
Chaves,33.00636095,-104.3724434,GW,Municipal,RA-01927,977553,MAYBE
Eddy,32.69624306,-104.3987113,GW,Exploration,RA-08875,977553,MAYBE
Eddy,32.94362502,-104.4633368,GW,Commercial,RA-03412,977553,NO
Eddy,32.65439381,-104.4350653,GW,Exploration,RA-09295,977553,MAYBE
Eddy,32.16020223,-103.7368984,GW,Commercial,C-02568,977553,YES
Otero,32.78847323,-105.9817384,GW,Commercial,T-00579,977553,MAYBE
Otero,32.94202054,-105.8218493,GW,Commercial,T-03018,977553,MAYBE
Eddy,32.79711786,-104.3890085,GW,Industrial,RA-01263-D,977553,NO
Roosevelt,33.76924598,-103.6251868,GW,Commercial,CL-00057-POD1,977553,NO
Otero,32.9328248,-105.8197534,GW,Commercial,T-05110-POD1,977553,MAYBE
Otero,32.9109169,-105.5242223,GW,Exploration,PN-00917-POD1,977553,MAYBE
Otero,32.99816914,-105.9875459,GW,Commercial,T-05156-POD1,977553,MAYBE
Lea,32.36738655,-103.1198511,GW,Commercial,CP-00209-POD1,651702,YES
Lea,32.530453,-103.2918521,GW,Commercial,L-05943,553946.7,YES
Otero,32.9420777,-105.6930889,GW,Exploration,PN-00372,325851,MAYBE
