,"Heating Degree Days U.S. Average , Monthly /// units: total degree days /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,780.33571173
1,202311,494.94427545
2,202310,252.0598401
3,202309,59.094746721
4,202308,10.84551101
5,202307,6.9179582482
6,202306,29.971156978
7,202305,140.88725349
8,202304,316.6941368
9,202303,562.80796839
10,202302,688.65736542
11,202301,854.48887454
12,202212,781.08719998
13,202211,495.492666
14,202210,247.2774839
15,202209,56.597091363
16,202208,10.369015458
17,202207,3.2971827242
18,202206,27.039558502
19,202205,123.04793378
20,202204,342.46138548
21,202203,524.87438931
22,202202,710.45765573
23,202201,913.40527506
24,202112,616.57118473
25,202111,509.38045383
26,202110,181.11549022
27,202109,40.232425828
28,202108,5.9202214514
29,202107,4.5976231203
30,202106,12.42454962
31,202105,150.81802163
32,202104,308.54413182
33,202103,507.78900573
34,202102,794.058904
35,202101,804.99525543
36,202012,751.60085171
37,202011,422.91322338
38,202010,248.36577109
39,202009,58.489006669
40,202008,7.2766599881
41,202007,4.6702581791
42,202006,25.653312364
43,202005,157.07898472
44,202004,360.13487255
45,202003,485.48387497
46,202002,653.66307537
47,202001,741.1791701
48,201912,717.69573481
49,201911,591.28723169
50,201910,254.92159675
51,201909,41.395192816
52,201908,10.280453424
53,201907,5.2700498714
54,201906,34.301378491
55,201905,159.04834342
56,201904,289.04415945
57,201903,634.07224597
58,201902,721.53463144
59,201901,861.54190299
60,201812,733.53041493
61,201811,595.41541947
62,201810,254.67553019
63,201809,37.777571794
64,201808,6.9667562562
65,201807,3.546855229
66,201806,26.471681568
67,201805,85.657945313
68,201804,412.08706251
69,201803,610.96560587
70,201802,626.88032685
71,201801,898.66374611
72,201712,800.20978567
73,201711,491.83257315
74,201710,193.39199261
75,201709,44.640946959
76,201708,15.227203829
77,201707,5.2257020029
78,201706,24.789034548
79,201705,154.38107622
80,201704,248.7061839
81,201703,544.87626556
82,201702,548.80817924
83,201701,767.99554477
84,201612,784.68172771
85,201611,419.31258569
86,201610,198.35910587
87,201609,38.943164541
88,201608,6.4021652391
89,201607,5.6617499437
90,201606,20.858077128
91,201605,150.91458897
92,201604,310.58521191
93,201603,451.01277823
94,201602,629.54125182
95,201601,872.35065498
96,201512,582.06179229
97,201511,445.97529442
98,201510,227.99839987
99,201509,31.963296719
100,201508,11.012950672
101,201507,6.4480467487
102,201506,24.366336831
103,201505,118.88656352
104,201504,300.72751236
105,201503,585.59682782
106,201502,869.18000722
107,201501,891.99526131
108,201412,706.70584042
109,201411,615.24184186
110,201410,221.18594972
111,201409,57.678181499
112,201408,13.032753355
113,201407,9.8290158865
114,201406,27.974250149
115,201405,127.17984214
116,201404,325.48892295
117,201403,684.45807057
118,201402,800.20970423
119,201401,971.37251695
120,201312,830.20005601
121,201311,572.89252631
122,201310,257.69090688
123,201309,59.62771637
124,201308,11.665186608
125,201307,5.1928900154
126,201306,26.443113522
127,201305,136.30469398
128,201304,348.4539996
129,201303,660.62764605
130,201302,733.96090644
131,201301,828.77159297
132,201212,699.24385132
133,201211,540.95365749
134,201210,262.14555228
135,201209,60.961195433
136,201208,8.7458837955
137,201207,4.9611902131
138,201206,31.630077955
139,201205,98.832382705
140,201204,292.35574192
141,201203,381.4400121
142,201202,629.28960735
143,201201,762.71116157
144,201112,724.03264542
145,201111,473.13491509
146,201110,256.34269383
147,201109,57.507140156
148,201108,9.3273157862
149,201107,6.9580960139
150,201106,38.94972389
151,201105,157.58243403
152,201104,314.15215865
153,201103,581.12758589
154,201102,741.69613934
155,201101,953.60274795
156,201012,901.30431558
157,201011,525.36132258
158,201010,237.51084879
159,201009,52.820091203
160,201008,9.1613303067
161,201007,6.2945016528
162,201006,31.168860822
163,201005,141.43935327
164,201004,272.28323315
165,201003,550.79562717
166,201002,807.95186605
167,201001,927.23377243
168,200912,871.00636965
169,200911,446.95669923
170,200910,332.25883562
171,200909,62.452231247
172,200908,14.59837565
173,200907,15.329474747
174,200906,43.872681375
175,200905,136.51003415
176,200904,334.39747413
177,200903,577.55354842
178,200902,694.42468487
179,200901,951.0780107
180,200812,825.95924135
181,200811,535.10604674
182,200810,284.11274627
183,200809,55.671245799
184,200808,15.416448832
185,200807,7.0387165684
186,200806,29.911452267
187,200805,188.75740428
188,200804,325.86204343
189,200803,610.90033994
190,200802,729.47747317
191,200801,885.70398275
192,200712,797.56900349
193,200711,522.20144752
194,200710,182.5657037
195,200709,50.206935406
196,200708,8.9697307868
197,200707,6.5190904242
198,200706,27.580077166
199,200705,118.11840378
200,200704,373.91010987
201,200703,500.32223677
202,200702,839.94938718
203,200701,839.91258482
204,200612,691.93473207
205,200611,475.64782381
206,200610,311.34602928
207,200609,87.201210593
208,200608,11.542373483
209,200607,2.9889344289
210,200606,26.047503972
211,200605,143.12456256
212,200604,275.48121361
213,200603,602.62298785
214,200602,723.88244714
215,200601,688.23011314
216,200512,863.3981098
217,200511,473.01785725
218,200510,242.72958989
219,200509,43.220958686
220,200508,7.9618882203
221,200507,4.2444800892
222,200506,30.815778559
223,200505,192.39968906
224,200504,314.64732897
225,200503,646.86250477
226,200502,673.65565634
227,200501,854.76664756
228,200412,802.37198669
229,200411,496.86805742
230,200410,259.57198774
231,200409,52.96894553
232,200408,21.511790334
233,200407,8.9468426789
234,200406,41.277861125
235,200405,116.64663411
236,200404,311.83505381
237,200403,497.59613343
238,200402,766.45298204
239,200401,967.95845237
240,200312,792.40781646
241,200311,489.61605406
242,200310,266.36892109
243,200309,67.346839618
244,200308,6.4984377637
245,200307,5.2149298848
246,200306,44.809956113
247,200305,176.6084713
248,200304,360.02837302
249,200303,580.42903109
250,200302,806.15913885
251,200301,948.36224946
252,200212,818.60484862
253,200211,567.23441857
254,200210,309.70161016
255,200209,42.827436807
256,200208,9.9867966664
257,200207,3.6575869894
258,200206,26.523019119
259,200205,195.55269162
260,200204,296.225094
261,200203,628.80363891
262,200202,672.00020004
263,200201,785.05204312
264,200112,703.85270165
265,200111,411.20594505
266,200110,271.29689488
267,200109,74.361623174
268,200108,6.8476980705
269,200107,10.417916033
270,200106,32.339009287
271,200105,123.73141484
272,200104,311.17481104
273,200103,662.9295008
274,200102,719.67241249
275,200101,928.51350061
276,200012,995.45781193
277,200011,617.65086213
278,200010,252.16518473
279,200009,75.132216004
280,200008,14.20495155
281,200007,13.95580483
282,200006,32.303204901
283,200005,125.78011424
284,200004,345.96358645
285,200003,497.93586611
286,200002,639.94758372
287,200001,882.75622867
288,199912,764.78178356
289,199911,423.11952263
290,199910,279.56306548
291,199909,66.006556361
292,199908,15.634055763
293,199907,7.1293890162
294,199906,35.223728008
295,199905,154.41026086
296,199904,332.84130876
297,199903,648.44558861
298,199902,647.38128609
299,199901,857.22022153
300,199812,726.26728558
301,199811,495.08745602
302,199810,254.55214625
303,199809,38.103993039
304,199808,7.7459686174
305,199807,5.3608808954
306,199806,47.482474723
307,199805,128.22308652
308,199804,344.28307131
309,199803,603.32697574
310,199802,630.85000086
311,199801,769.43038362
312,199712,811.66208612
313,199711,604.49231925
314,199710,284.80912026
315,199709,68.655320907
316,199708,18.877196818
317,199707,9.8241626387
318,199706,36.978766154
319,199705,206.95011682
320,199704,416.8724801
321,199703,557.4781199
322,199702,677.5207948
323,199701,934.86550359
324,199612,770.55750817
325,199611,641.06377187
326,199610,287.60561837
327,199609,79.449428031
328,199608,11.324959482
329,199607,10.629639123
330,199606,30.492079933
331,199605,178.06897884
332,199604,371.82429779
333,199603,718.14680349
334,199602,749.2741453
335,199601,951.96995081
336,199512,882.28023784
337,199511,614.69789801
338,199510,244.70042698
339,199509,84.234880345
340,199508,8.8308311273
341,199507,6.316219731
342,199506,36.44822401
343,199505,191.16752077
344,199504,390.58624235
345,199503,568.18304611
346,199502,755.22124553
347,199501,857.16825693
348,199412,738.4836935
349,199411,501.61919183
350,199410,283.30785383
351,199409,71.860676711
352,199408,20.018834951
353,199407,7.2078017548
354,199406,24.58873625
355,199405,188.20103424
356,199404,309.30987418
357,199403,604.6262591
358,199402,821.75359613
359,199401,1037.7735184
360,199312,838.7106199
361,199311,597.87073235
362,199310,315.87746909
363,199309,97.419843344
364,199308,12.418918403
365,199307,14.256246269
366,199306,44.168238523
367,199305,143.81979139
368,199304,385.68521661
369,199303,675.42978312
370,199302,838.55512887
371,199301,872.3327363
372,199212,840.84893869
373,199211,583.13464625
374,199210,314.97039819
375,199209,83.264894336
376,199208,28.771578673
377,199207,17.897603261
378,199206,50.7688383
379,199205,165.6028427
380,199204,360.11759057
381,199203,618.75195021
382,199202,656.00253886
383,199201,863.77528587
384,199112,767.19022539
385,199111,604.70869358
386,199110,254.53847067
387,199109,75.946727596
388,199108,9.7295572739
389,199107,7.047228362
390,199106,35.154374066
391,199105,114.36504206
392,199104,306.42192563
393,199103,584.54306951
394,199102,650.45334249
395,199101,937.05028986
396,199012,809.89444079
397,199011,480.96614526
398,199010,260.19065794
399,199009,63.367469751
400,199008,12.618150342
401,199007,7.4732243401
402,199006,33.475036718
403,199005,202.24466924
404,199004,339.34035247
405,199003,551.86167491
406,199002,672.18970806
407,199001,745.99033444
