,"Natural Gas Total Marketed Production, Monthly /// units: billion cubic feet per day /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,109.1548
1,202311,109.5559
2,202310,109.4996
3,202309,109.6322
4,202308,109.3396
5,202307,109.274
6,202306,109.3314
7,202305,109.0914
8,202304,108.544
9,202303,107.8463
10,202302,107.5174
11,202301,107.441
12,202212,107.1672
13,202211,106.6148
14,202210,106.7005
15,202209,106.2082
16,202208,105.7898
17,202207,105.0036
18,202206,105.6689
19,202205,105.50565603
20,202204,104.451685
21,202203,103.51615416
22,202202,102.01684279
23,202201,102.71226271
24,202112,105.36359813
25,202111,105.376873
26,202110,103.85844326
27,202109,101.66400377
28,202108,102.34991587
29,202107,101.64221277
30,202106,101.20182217
31,202105,100.97446219
32,202104,101.19347587
33,202103,99.734250968
34,202102,92.371726429
35,202101,100.33393171
36,202012,99.635529613
37,202011,99.4842823
38,202010,96.510560097
39,202009,97.2522845
40,202008,97.147755226
41,202007,97.462303806
42,202006,95.766694833
43,202005,94.420545452
44,202004,100.39473583
45,202003,103.10437761
46,202002,102.91780372
47,202001,103.03795468
48,201912,104.34663139
49,201911,104.46421463
50,201910,102.77903242
51,201909,101.88451143
52,201908,101.49624939
53,201907,99.087025097
54,201906,98.543467
55,201905,98.272419548
56,201904,97.528116933
57,201903,97.058319613
58,201902,96.616020179
59,201901,95.96224929
60,201812,95.997219
61,201811,96.4699359
62,201810,94.814522129
63,201809,93.6272444
64,201808,92.116134129
65,201807,90.295025742
66,201806,88.531791267
67,201805,88.086030516
68,201804,87.084702967
69,201803,87.232814774
70,201802,86.226719321
71,201801,84.46176271
72,201712,85.892586742
73,201711,85.292362067
74,201710,82.717891258
75,201709,81.273754167
76,201708,79.876760032
77,201707,79.921699935
78,201706,79.105870033
79,201705,78.346423387
80,201704,78.347716967
81,201703,78.25157771
82,201702,76.521014429
83,201701,75.465512419
84,201612,76.050186355
85,201611,76.916482967
86,201610,76.279981226
87,201609,76.580057833
88,201608,77.090734258
89,201607,77.706927194
90,201606,77.076280967
91,201605,77.82178529
92,201604,78.718453533
93,201603,78.773416452
94,201602,79.673152793
95,201601,78.560495516
96,201512,78.545799935
97,201511,78.541217433
98,201510,78.872316903
99,201509,79.451043
100,201508,78.952723355
101,201507,78.862992581
102,201506,78.613866867
103,201505,78.797208032
104,201504,79.947986
105,201503,78.810305774
106,201502,78.463815107
107,201501,78.075868548
108,201412,77.748464323
109,201411,77.150550233
110,201410,77.647430871
111,201409,76.8848004
112,201408,76.912024129
113,201407,76.495453194
114,201406,74.902743667
115,201405,74.517992161
116,201404,74.9225661
117,201403,73.133472452
118,201402,72.608525321
119,201401,70.928873097
120,201312,70.254420097
121,201311,71.453521933
122,201310,70.729019032
123,201309,70.515447033
124,201308,70.699253806
125,201307,70.851733774
126,201306,69.479765533
127,201305,69.58219671
128,201304,69.820758767
129,201303,68.93084571
130,201302,69.116977571
131,201301,68.916140871
132,201212,69.439991258
133,201211,70.061086667
134,201210,69.960463613
135,201209,69.8096314
136,201208,69.411020161
137,201207,69.754334742
138,201206,67.9969672
139,201205,68.431188548
140,201204,68.150617067
141,201203,68.344927419
142,201202,68.083835276
143,201201,69.441883742
144,201112,68.867885935
145,201111,69.205059267
146,201110,68.346276387
147,201109,66.237803367
148,201108,66.342472548
149,201107,65.574023419
150,201106,65.148447867
151,201105,65.506304871
152,201104,65.3615758
153,201103,64.592218194
154,201102,61.747449071
155,201101,62.991348903
156,201012,64.005625161
157,201011,63.0886137
158,201010,63.100438774
159,201009,62.0345959
160,201008,61.870813065
161,201007,61.163938677
162,201006,60.083054967
163,201005,60.854062613
164,201004,60.4437398
165,201003,60.145776581
166,201002,60.102474036
167,201001,58.843326194
168,200912,58.143526323
169,200911,58.583990067
170,200910,58.545577645
171,200909,57.799321333
172,200908,59.428503806
173,200907,58.961239161
174,200906,59.733104133
175,200905,59.462172194
176,200904,59.441128967
177,200903,60.485596613
178,200902,60.889980536
179,200901,60.337585387
180,200812,58.934391968
181,200811,58.5980796
182,200810,56.588755097
183,200809,51.967584133
184,200808,58.91586229
185,200807,59.765295968
186,200806,58.699925833
187,200805,57.997313194
188,200804,58.007622667
189,200803,58.195635935
190,200802,57.451535621
191,200801,56.949898742
192,200712,57.264618774
193,200711,57.077122433
194,200710,55.915260903
195,200709,55.8248243
196,200708,55.250689161
197,200707,54.943115097
198,200706,55.5488432
199,200705,55.566109581
200,200704,54.222445367
201,200703,54.938224839
202,200702,54.052164571
203,200701,53.30547
204,200612,54.356929129
205,200611,53.844070467
206,200610,54.044738194
207,200609,53.9147231
208,200608,53.420436581
209,200607,53.235893839
210,200606,53.802041733
211,200605,52.649635548
212,200604,52.3515219
213,200603,52.625273161
214,200602,51.820809964
215,200601,51.967750613
216,200512,51.372046645
217,200511,50.480240833
218,200510,47.600698581
219,200509,46.698039533
220,200508,52.239152065
221,200507,52.497649032
222,200506,53.724767233
223,200505,53.292921419
224,200504,53.820463433
225,200503,54.430551097
226,200502,53.5100325
227,200501,52.667256387
228,200412,52.478505387
229,200411,52.790663867
230,200410,52.271698387
231,200409,51.679202267
232,200408,53.35782529
233,200407,53.822243871
234,200406,53.969893933
235,200405,53.361592226
236,200404,54.307344733
237,200403,54.360465129
238,200402,53.498531448
239,200401,54.012830677
240,200312,53.971169677
241,200311,54.002823567
242,200310,54.664386613
243,200309,54.6275095
244,200308,54.872760839
245,200307,53.780019129
246,200306,54.889673433
247,200305,54.853554774
248,200304,55.510981467
249,200303,56.104533226
250,200302,54.896750964
251,200301,54.538142581
252,200212,54.666910613
253,200211,54.4748748
254,200210,52.588567258
255,200209,53.098938233
256,200208,54.333548355
257,200207,55.457654484
258,200206,54.9522741
259,200205,55.201339065
260,200204,54.806428367
261,200203,54.885683226
262,200202,54.389873357
263,200201,54.862694677
264,200112,55.606558258
265,200111,55.7125814
266,200110,56.690218742
267,200109,56.289384133
268,200108,56.04139129
269,200107,56.038234806
270,200106,56.185606967
271,200105,56.875501645
272,200104,56.777003733
273,200103,56.992056871
274,200102,56.519906357
275,200101,56.556034871
276,200012,55.434530548
277,200011,55.4947232
278,200010,56.450922161
279,200009,55.440814367
280,200008,55.443158419
281,200007,55.027199258
282,200006,55.045880767
283,200005,54.574730452
284,200004,54.282468
285,200003,55.558202097
286,200002,54.269208655
287,200001,55.117292484
288,199912,54.406321516
289,199911,54.6937517
290,199910,53.84126529
291,199909,53.688764467
292,199908,53.680150935
293,199907,53.794733226
294,199906,54.019220933
295,199905,53.553340129
296,199904,54.3173784
297,199903,55.021214645
298,199902,55.028162679
299,199901,55.138021226
300,199812,53.445574742
301,199811,53.863061333
302,199810,53.79985029
303,199809,51.520478133
304,199808,54.921961613
305,199807,54.542596548
306,199806,55.3379157
307,199805,55.86782471
308,199804,55.672196267
309,199803,55.79341329
310,199802,55.334622821
311,199801,56.150374161
312,199712,53.410694323
313,199711,54.198125633
314,199710,54.146502548
315,199709,54.132419467
316,199708,53.617766387
317,199707,53.719692871
318,199706,53.4363709
319,199705,54.601191903
320,199704,54.345237133
321,199703,55.180089645
322,199702,55.022982643
323,199701,54.851922645
